,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
246,itarema,3393692,01 Apr 2019,-2.92,-39.92,BR,80.8,48,88,4.61
247,gumdag,161943,01 Apr 2019,39.2,54.59,TM,53.08,64,93,4.5
248,douentza,2458334,01 Apr 2019,15.01,-2.95,ML,88.18,68,57,2.37
249,college,5859699,01 Apr 2019,64.86,-147.8,US,44.6,1,64,4.7
250,upata,3625710,01 Apr 2019,8.02,-62.41,VE,93.0,0,42,5.99
251,jumla,1283285,01 Apr 2019,29.28,82.18,NP,22.75,0,95,1.7
252,pangkalanbuun,1632694,01 Apr 2019,-2.68,111.62,ID,71.71,24,96,3.49
253,thompson,6165406,01 Apr 2019,55.74,-97.86,CA,33.8,75,55,13.87
254,brae,2654970,01 Apr 2019,60.4,-1.35,GB,42.8,92,75,23.04
255,new norfolk,2155415,01 Apr 2019,-42.78,147.06,AU,45.0,20,87,11.41
256,north bend,5742974,01 Apr 2019,43.41,-124.22,US,57.99,90,93,2.98
257,caravelas,3466980,01 Apr 2019,-17.73,-39.27,BR,80.98,12,100,12.15
258,morehead,4301307,01 Apr 2019,38.18,-83.43,US,48.2,1,26,5.82
259,bathsheba,3374083,01 Apr 2019,13.22,-59.52,BB,82.4,40,65,20.8
260,tuma,480484,01 Apr 2019,55.15,40.55,RU,30.0,32,70,3.0
261,mbaiki,2384770,01 Apr 2019,3.87,17.99,CF,75.76,36,90,2.53
262,egvekinot,4031742,01 Apr 2019,66.32,-179.17,RU,26.08,68,95,3.2
263,fernley,5504003,01 Apr 2019,39.61,-119.25,US,64.0,90,38,5.82
264,russell,3844421,01 Apr 2019,-33.01,-68.8,AR,80.6,20,42,5.82
265,guerrero negro,4021858,01 Apr 2019,27.97,-114.04,MX,81.07,12,31,7.4
266,orotina,3622660,01 Apr 2019,9.91,-84.53,CR,86.0,75,35,10.29
267,verkhnyaya inta,1487332,01 Apr 2019,65.99,60.32,RU,27.43,88,78,8.52
268,saldanha,2737599,01 Apr 2019,41.42,-6.55,PT,53.08,80,65,4.27
269,guhagar,1270779,01 Apr 2019,17.48,73.19,IN,73.33,0,100,7.29
270,oktyabrskiy,515873,01 Apr 2019,55.61,37.97,RU,35.6,75,74,11.18
271,goure,2444219,01 Apr 2019,13.98,10.27,NE,83.5,0,16,10.58
272,westport,2960970,01 Apr 2019,53.8,-9.52,IE,41.0,20,90,1.99
273,okhotsk,2122605,01 Apr 2019,59.36,143.24,RU,18.88,8,86,7.56
274,makakilo city,5850554,01 Apr 2019,21.35,-158.09,US,80.01,1,57,11.41
275,marienburg,2803461,01 Apr 2019,52.12,9.98,DE,46.4,0,45,8.05
276,ahipara,2194098,01 Apr 2019,-35.17,173.16,NZ,65.68,48,96,12.82
277,ponta delgada,3372783,01 Apr 2019,37.73,-25.67,PT,57.2,40,62,21.92
278,birjand,140463,01 Apr 2019,32.86,59.22,IR,64.4,90,35,11.41
279,nelson bay,2155562,01 Apr 2019,-32.72,152.14,AU,64.99,90,100,5.82
280,meadow lake,6071421,01 Apr 2019,54.13,-108.44,CA,41.0,90,60,25.28
281,tessalit,2449893,01 Apr 2019,20.2,1.01,ML,81.88,0,29,12.15
282,marsh harbour,3571913,01 Apr 2019,26.54,-77.06,BS,76.84,64,100,7.07
283,luziania,3458329,01 Apr 2019,-16.25,-47.95,BR,82.4,40,45,5.82
284,fort nelson,5955902,01 Apr 2019,58.81,-122.69,CA,41.0,75,52,3.31
285,vestmannaeyjar,3412093,01 Apr 2019,63.44,-20.27,IS,34.45,32,97,19.71
286,santa isabel do rio negro,3662489,01 Apr 2019,-0.41,-65.02,BR,83.95,56,81,3.27
287,ipaussu,3450272,01 Apr 2019,-23.06,-49.63,BR,83.68,0,42,3.76
288,mount gambier,2156643,01 Apr 2019,-37.83,140.78,AU,42.8,44,93,6.93
289,inongo,2315417,01 Apr 2019,-1.93,18.29,CD,77.56,48,86,1.97
290,saint george,262462,01 Apr 2019,39.45,22.34,GR,51.8,0,62,6.93
291,yulara,6355222,01 Apr 2019,-25.24,130.99,AU,57.2,0,33,5.82
292,ginda,1253628,01 Apr 2019,30.69,78.49,IN,41.29,0,60,2.82
293,killybegs,2963295,01 Apr 2019,54.63,-8.45,IE,42.8,90,93,12.75
294,amapa,3603330,01 Apr 2019,15.09,-87.97,HN,91.99,20,46,17.22
295,jacareacanga,3397763,01 Apr 2019,-6.22,-57.76,BR,84.76,12,77,2.08
296,camocim,3403687,01 Apr 2019,-2.9,-40.84,BR,79.18,64,91,4.54
297,florianopolis,3463237,01 Apr 2019,-27.6,-48.55,BR,82.4,20,65,6.93
298,tecolutla,3514593,01 Apr 2019,17.31,-98.74,MX,84.04,20,29,2.59
299,matagami,2335713,01 Apr 2019,9.67,8.4,NG,74.41,8,32,5.99
300,hamilton,3573197,01 Apr 2019,32.3,-64.78,BM,72.0,75,77,17.22
301,provideniya,4031574,01 Apr 2019,64.42,-173.23,RU,28.24,24,100,10.92
302,laurel,5661766,01 Apr 2019,45.67,-108.77,US,48.99,75,61,13.87
303,bahia blanca,3865086,01 Apr 2019,-38.72,-62.27,AR,80.08,64,56,12.77
304,atambua,1651103,01 Apr 2019,-9.11,124.89,ID,76.66,56,100,2.3
305,mangan,1263776,01 Apr 2019,27.5,88.54,IN,21.31,20,76,1.74
306,waingapu,1622318,01 Apr 2019,-9.65,120.26,ID,69.01,8,98,2.98
307,lander,5830007,01 Apr 2019,42.83,-108.73,US,50.0,1,45,5.82
308,gao,2457163,01 Apr 2019,16.28,-0.04,ML,87.91,56,26,6.55
309,dovers,3577911,01 Apr 2019,12.88,-61.18,VC,84.2,40,62,12.75
310,jieshi,1805857,01 Apr 2019,22.82,115.83,CN,64.69,44,100,19.64
311,santiago de cao,3692073,01 Apr 2019,-7.96,-79.24,PE,73.4,75,73,14.99
312,beloha,1067565,01 Apr 2019,-25.17,45.06,MG,69.55,0,85,7.0
313,itacoatiara,3397893,01 Apr 2019,-3.14,-58.44,BR,87.8,20,70,4.7
